Date,Open,High,Low,Close,Volume
2016-06-13,101.70470703923584,101.81942032797718,100.89565385967472,100.90773010253906,2547360
2016-06-14,101.00434242975281,101.3183027146971,100.58773407803862,101.19754028320312,2417594
2016-06-15,101.40280902050428,101.95223392118308,101.1130012686662,101.31224822998047,2026263
2016-06-16,101.04051164998589,102.87596750619332,100.5997620419648,102.59823608398438,3147992
2016-06-17,102.63449261667911,102.64053073699276,101.68657383824305,102.00053405761719,4123808
2016-06-20,103.18393934624788,104.33109430107223,102.96055088426358,103.38318634033203,2586709
2016-06-21,103.35299910680997,103.82997767278457,103.28054164533364,103.46771240234375,2259364
2016-06-22,103.74544058047495,104.21034288769125,103.23828244058085,103.38318634033203,1638042
2016-06-23,104.27672342096629,105.14614649593709,104.12578145579224,105.12199401855469,2417834
2016-06-24,101.95829563944525,103.57036402792532,101.67452594252978,102.10923767089844,5462730
2016-06-27,101.30015861097839,101.33033819152195,99.71828140750398,100.94393157958984,3042744
2016-06-28,101.51752111694216,102.44128744714612,101.40884596587938,102.39298248291016,2675811
2016-06-29,103.25636647323869,103.75748634433354,102.85787260213013,103.5582504272461,2265344
2016-06-30,103.88430151213369,105.74391065424281,103.88430151213369,105.7318344116211,2929482
2016-07-01,105.74387933610876,106.31141849736315,105.60501360555644,105.98538208007812,2309356
2016-07-05,105.57485448843963,106.13032859474744,104.75977422065127,106.03975677490234,2814906
2016-07-06,105.7801110359001,105.9431292491392,105.0918094647869,105.7559585571289,2850427
2016-07-07,105.71370684520636,106.04578143889188,105.13409134562998,105.58087921142578,2203391
2016-07-08,106.18465913949748,107.34389026906915,106.15446853331709,106.93936920166016,3261014
2016-07-11,107.11444229366404,107.75443894291598,106.98161467148354,107.4767074584961,1984762
2016-07-12,107.923494883251,108.45480536999382,107.48877227968501,108.17103576660156,2287828
2016-07-13,108.20726340070807,108.47895676135981,107.88726508048553,108.20122528076172,1783834
2016-07-14,108.7687849969655,109.47519007158999,108.60576674613382,109.22161102294922,2277543
2016-07-15,109.58385684713312,109.78913089074433,109.0163066210263,109.52347564697266,2960339
2016-07-18,109.54765091417201,109.70463104877565,109.13105360180946,109.34840393066406,1464382
2016-07-19,109.34837669643146,109.67441312698043,108.85328393083982,109.42687225341797,1257355
2016-07-20,109.72274660970518,110.04878312501373,109.47519465332002,109.53557586669922,1690307
2016-07-21,109.45709180781341,109.6201100826226,108.49710754334903,108.83522033691406,2237477
2016-07-22,108.93181718890123,108.99822551086841,108.29182034583812,108.94389343261719,1441898
2016-07-25,108.7989695714279,108.93179720947057,108.02614520770537,108.45481872558594,2316652
2016-07-26,106.96956545769831,108.06842645141762,106.3476830114137,107.26541137695312,4092234
2016-07-27,107.1144446020507,108.03821087565971,107.1144446020507,107.6336898803711,2822201
2016-07-28,107.25934832933714,107.694059924864,106.88501793532822,107.4585952758789,2152202
2016-07-29,107.53711491121751,107.96578852647863,107.24126896417316,107.68805694580078,1939792
2016-08-01,106.91519452752658,107.79669393423103,106.91519452752658,107.645751953125,1911686
2016-08-02,107.82088461401754,107.84503710250623,107.01184236047268,107.68805694580078,2529660
2016-08-03,107.90541176916227,108.15295272419273,107.45258569291877,107.70012664794922,1697483
2016-08-04,108.05028915946747,108.32802065512521,107.25331237566917,107.35594940185547,1281873
2016-08-05,107.62162912935504,108.08049327212119,107.09030753424574,107.81482696533203,2152202
2016-08-08,108.01408595112464,108.08654341152449,107.63371733943623,107.82087707519531,1587929
2016-08-09,107.69410051295758,108.01409896466981,107.43448328551995,107.7061767578125,1314284
2016-08-10,107.54313909775952,107.98388890015205,107.38012084005604,107.96577453613281,1466655
2016-08-11,108.12273285841725,109.34234497522844,108.00198147445391,109.28197479248047,2443906
2016-08-12,109.56576703048016,109.56576703048016,108.61784808642439,108.84124755859375,1474548
2016-08-15,109.28200851193868,109.51747323239753,108.95597196171046,109.01634216308594,1516767
2016-08-16,108.75062931663722,108.87741879278713,108.20120458049932,108.22535705566406,1630866
2016-08-17,108.5474169416504,109.41010645126383,108.33477689403601,109.27645111083984,1624766
2016-08-18,109.17315536866266,109.17315536866266,108.49271620526358,108.85723876953125,1301128
2016-08-19,108.54128741800895,109.22171527642382,108.18891645784632,109.11843872070312,1561139
2016-08-22,108.85717740266723,109.10626065931876,108.36507554446024,108.79034423828125,1598334
2016-08-23,109.1184176972187,109.68341740366282,108.91794036809935,109.21562957763672,1430177
2016-08-24,108.99694824218751,109.33109201205824,108.7539406388951,108.9969482421875,1359972
2016-08-25,108.8025608715034,109.54982217602391,108.77825788808364,109.10025024414062,1004999
2016-08-26,109.47082304702009,110.11480760900733,108.6992589389481,108.9969482421875,1584341
